CROP,Cotelyedon,STAGE,STAGE_NAME,DESCRIPTION,GDD_MIN,GDD_MAX,GDD_AVG
Canary Seed,Monocot,1.2,Leaf development,First two leaves unfolded,202,259,230.5
Canary Seed,Monocot,2.1,Tillering,First tiller visible,378,452,415
Canary Seed,Monocot,3.1,Stem elongation,First node detected,574,667,620.5
Canary Seed,Monocot,6.1,Anthesis,Flowering commences; first anthers are visibile,771,920,845.5
Canary Seed,Monocot,7.1,Seed fill,Seed fill begins. Caryopsis of cereals watery ripe.,975,1140,1057.5
Canary Seed,Monocot,8.5,Dough stage,"Soft dough stage, grain contents soft but dry, fingernail impression does not hold.",1261,1447,1354
Canary Seed,Monocot,8.9,Maturity complete,Grain is fully mature and drydown beings. Ready for harvest when dry.,1342,1535,1438.5
Oats,Monocot,6.1,Anthesis,Flowering commences; first anthers are visibile,760,947,853.5
Oats,Monocot,7.1,Seed fill,Seed fill begins. Caryopsis of cereals watery ripe.,1019,1229,1124
Oats,Monocot,8.5,Dough stage,"Soft dough stage, grain contents soft but dry, fingernail impression does not hold.",1380,1625,1502.5
Oats,Monocot,8.9,Maturity complete,Grain is fully mature and drydown beings. Ready for harvest when dry.,1483,1738,1610.5
Wheat (Hard Red),Monocot,1,Emergence,Leaf tip just emerging from above-ground coleoptyle,125,160,142.5
Wheat (Hard Red),Monocot,1.2,Leaf development,First two leaves unfolded,169,208,188.5
Wheat (Hard Red),Monocot,2.1,Tillering,First tiller visible,369,421,395
Wheat (Hard Red),Monocot,3.1,Stem elongation,First node detected,592,659,625.5
Wheat (Hard Red),Monocot,6.1,Anthesis,Flowering commences; first anthers are visibile,807,901,854
Wheat (Hard Red),Monocot,7.1,Seed fill,Seed fill begins. Caryopsis of cereals watery ripe.,1068,1174,1121
Wheat (Hard Red),Monocot,8.5,Dough stage,"Soft dough stage, grain contents soft but dry, fingernail impression does not hold.",1434,1556,1495
Wheat (Hard Red),Monocot,8.9,Maturity complete,Grain is fully mature and drydown beings. Ready for harvest when dry.,1538,1665,1601.5
Barley,Monocot,1,Emergence,Leaf tip just emerging from above-ground coleoptyle,109,145,127
Barley,Monocot,1.2,Leaf development,First two leaves unfolded,145,184,164.5
Barley,Monocot,2.1,Tillering,First tiller visible,308,360,334
Barley,Monocot,3.1,Stem elongation,First node detected,489,555,522
Barley,Monocot,6.1,Anthesis,Flowering commences; first anthers are visibile,738,936,837
Barley,Monocot,7.1,Seed fill,Seed fill begins. Caryopsis of cereals watery ripe.,927,1145,1036
Barley,Monocot,8.5,Dough stage,"Soft dough stage, grain contents soft but dry, fingernail impression does not hold.",1193,1438,1315.5
Barley,Monocot,8.9,Maturity complete,Grain is fully mature and drydown beings. Ready for harvest when dry.,1269,1522,1395.5
